"Country";"Region";"Gender";"Ageyears";"Height_cm";"Armspan_cm"
"USA";"OH";"Male";16;188;190
"USA";"OH";"Female";17;158;170
"USA";"OH";"Female";13;173;173
"USA";"OH";"Female";11;150;155
"USA";"OH";"Male";14;175;177
"USA";"OH";"Male";13;162;174
"USA";"OH";"Male";13;160;160
"USA";"OH";"Male";17;174;159
"USA";"OH";"Male";13;153;151
"USA";"OH";"Male";17;175;178
"USA";"OH";"Male";18;190;193
"USA";"OH";"Female";11;162;140
"USA";"OH";"Male";15;183;186
"USA";"OH";"Male";13;192;182
"USA";"OH";"Female";18;183;183
"USA";"OH";"Male";12;152;149
"USA";"OH";"Female";13;163;163
"USA";"OH";"Female";17;165;170
"USA";"OH";"Female";17;160;160
"USA";"OH";"Female";16;166;166
"USA";"OH";"Female";16;168;168
"USA";"OH";"Male";12;161;160
"USA";"OH";"Male";16;167;178
"USA";"OH";"Male";18;175;183
"USA";"OH";"Male";12;160;161
"USA";"OH";"Male";14;169;176
"USA";"OH";"Male";14;170;171
"USA";"OH";"Male";12;157;156
"USA";"OH";"Female";13;152;151
"USA";"OH";"Male";16;183;185
"USA";"OH";"Male";17;178;176
"USA";"OH";"Male";12;155;153
"USA";"OH";"Female";15;153;147
"USA";"OH";"Male";16;173;166
"USA";"OH";"Male";12;163;162
"USA";"OH";"Male";14;155;151
"USA";"OH";"Female";13;171;156
"USA";"OH";"Female";13;167;158
"USA";"OH";"Female";16;168;158
"USA";"OH";"Female";14;163;166
"USA";"OH";"Male";13;164;170
"USA";"OH";"Female";14;160;160
"USA";"OH";"Female";17;167;170
"USA";"OH";"Female";14;162;161
"USA";"OH";"Female";17;169;162
"USA";"OH";"Female";12;154;150
"USA";"OH";"Male";14;162;162
"USA";"OH";"Female";18;149;148
"USA";"OH";"Female";17;165;165
"USA";"OH";"Female";17;164;162
"USA";"OH";"Female";12;159;152
"USA";"OH";"Male";17;176;181
"USA";"OH";"Female";13;159;163
"USA";"OH";"Male";12;153;170
"USA";"OH";"Male";12;162;161
"USA";"OH";"Male";15;171;132
"USA";"OH";"Female";13;168;171
"USA";"OH";"Male";14;160;160
"USA";"OH";"Female";17;166;168
"USA";"OH";"Male";16;170;175
"USA";"OH";"Female";12;160;147
"USA";"OH";"Male";18;194;199
"USA";"OH";"Male";14;175;175
"USA";"OH";"Male";17;179;181
"USA";"OH";"Female";16;170;161
"USA";"OH";"Male";16;183;188
"USA";"OH";"Male";17;191;186
"USA";"OH";"Male";14;180;180
"USA";"OH";"Female";13;170;170
"USA";"OH";"Male";17;188;190
"USA";"OH";"Female";11;150;157
"USA";"OH";"Female";13;166;175
"USA";"OH";"Male";12;150;156
"USA";"OH";"Female";13;151;152
"USA";"OH";"Female";17;160;160
"USA";"OH";"Female";13;158;145
"USA";"OH";"Male";14;165;175
"USA";"OH";"Female";11;148;145
"USA";"OH";"Female";17;177;170
"USA";"OH";"Female";18;165;165
"USA";"OH";"Male";11;153;153
"USA";"OH";"Male";14;168;174
"USA";"OH";"Female";18;168;164
"USA";"OH";"Male";14;192;196
"USA";"OH";"Male";12;151;157
"USA";"OH";"Male";17;164;167
"USA";"OH";"Male";13;157;160
"USA";"OH";"Female";16;163;163
"USA";"OH";"Male";17;178;170
"USA";"OH";"Male";17;179;179
"USA";"OH";"Female";14;154;150
"USA";"OH";"Female";12;150;149
"USA";"OH";"Female";14;172;169
"USA";"OH";"Male";18;168;168
"USA";"OH";"Female";17;159;166
"USA";"OH";"Female";17;152;148
"USA";"OH";"Female";17;168;166
"USA";"OH";"Female";16;166;160
"USA";"OH";"Female";13;155;150
"USA";"OH";"Female";17;159;156
"USA";"OH";"Female";17;172;173
"USA";"OH";"Female";16;173;171
"USA";"OH";"Male";13;168;167
"USA";"OH";"Male";11;155;165
"USA";"OH";"Female";13;166;170
"USA";"OH";"Male";18;188;192
"USA";"OH";"Male";14;168;168
"USA";"OH";"Male";13;149;149
"USA";"OH";"Male";17;169;178
"USA";"OH";"Female";18;167;167
"USA";"OH";"Male";17;183;189
"USA";"OH";"Female";11;156;153
"USA";"OH";"Male";16;184;180
"USA";"OH";"Male";14;160;158
"USA";"OH";"Female";17;160;160
"USA";"OH";"Male";17;182;176
"USA";"OH";"Female";16;178;177
"USA";"OH";"Female";14;160;163
"USA";"OH";"Female";13;158;153
"USA";"OH";"Female";11;162;146
"USA";"OH";"Female";15;162;169
"USA";"OH";"Male";17;180;188
"USA";"OH";"Female";13;157;159
"USA";"OH";"Male";17;180;180
"USA";"OH";"Male";15;173;173
"USA";"OH";"Male";14;166;172
"USA";"OH";"Female";13;165;166
"USA";"OH";"Male";18;191;197
"USA";"OH";"Female";13;167;161
"USA";"OH";"Male";16;178;181
"USA";"OH";"Female";13;158;154
"USA";"OH";"Male";16;184;180
"USA";"OH";"Male";15;182;180
"USA";"OH";"Male";16;189;186
"USA";"OH";"Female";13;150;172
"USA";"OH";"Female";18;162;160
"USA";"OH";"Male";15;178;183
"USA";"OH";"Female";17;166;166
"USA";"OH";"Male";13;164;169
"USA";"OH";"Male";12;150;150
"USA";"OH";"Male";17;175;178
"USA";"OH";"Male";14;164;169
"USA";"OH";"Female";11;155;159
"USA";"OH";"Male";18;190;197
"USA";"OH";"Female";18;160;158
"USA";"OH";"Male";11;156;154
"USA";"OH";"Female";11;148;139
"USA";"OH";"Female";18;157;158
"USA";"OH";"Female";12;153;159
"USA";"OH";"Female";18;160;175
"USA";"OH";"Female";13;165;171
